"","City","Year","Homicides","Population"
"1","New Orleans, Louisiana",1880,20,216090
"2","Philadelphia, Pennsylvania",1870,37,647022
"3","Brooklyn, New York",1870,NA,396099
"4","Chicago, Illinois",1870,14,298977
"5","Boston, Massachusetts",1870,29,250526
"6","St. Louis, Missouri",1870,NA,310864
"7","Baltimore, Maryland",1870,13,267354
"8","Cincinnati, Ohio",1870,17,216239
"9","San Francisco, California",1870,31,149473
"10","Newark, New Jersey",1870,1,104789
"11","Washington, DC",1870,10,109199
"12","Louisville, Kentucky",1870,21,100753
"13","Detroit, Michigan",1870,4,79577
"14","Milwaukee, Wisconsin",1870,2,71448
"15","Providence, Rhode Island",1870,0,68904
"16","New Haven, Connecticut",1870,12,50840
"17","Lowell, Massachusetts",1870,0,40928
"18","Philadelphia, Pennsylvania",1871,NA,667037
"19","Brooklyn, New York",1871,8,413802
"20","Chicago, Illinois",1871,NA,319409
"21","Boston, Massachusetts",1871,9,261754
"22","St. Louis, Missouri",1871,NA,314829
"23","Baltimore, Maryland",1871,16,273850
"24","Cincinnati, Ohio",1871,9,220129
"25","San Francisco, California",1871,21,157922
"26","Washington, DC",1871,10,113008
"27","Newark, New Jersey",1871,3,108204
"28","Louisville, Kentucky",1871,15,103054
"29","Detroit, Michigan",1871,9,83253
"30","Providence, Rhode Island",1871,0,72499
"31","New Haven, Connecticut",1871,4,52044
"32","Lowell, Massachusetts",1871,NA,42783
"33","Philadelphia, Pennsylvania",1872,30,687052
"34","Brooklyn, New York",1872,14,431506
"35","Chicago, Illinois",1872,13,339819
"36","Boston, Massachusetts",1872,14,272981
"37","St. Louis, Missouri",1872,15,318795
"38","Baltimore, Maryland",1872,13,280346
"39","Cincinnati, Ohio",1872,12,224019
"40","San Francisco, California",1872,25,166370
"41","Cleveland, Ohio",1872,3,99561
"42","Buffalo, New York",1872,NA,125198
"43","Washington, DC",1872,19,116818
"44","Newark, New Jersey",1872,5,111349
"45","Louisville, Kentucky",1872,NA,105354
"46","Detroit, Michigan",1872,6,86930
"47","Providence, Rhode Island",1872,2,76095
"48","Richmond, Virginia",1872,NA,53550
"49","New Haven, Connecticut",1872,1,53248
"50","Lowell, Massachusetts",1872,NA,44637
"51","Philadelphia, Pennsylvania",1873,18,707066
"52","Brooklyn, New York",1873,9,449209
"53","Chicago, Illinois",1873,NA,360239
"54","Boston, Massachusetts",1873,17,284209
"55","St. Louis, Missouri",1873,19,322760
"56","Baltimore, Maryland",1873,12,286842
"57","Cincinnati, Ohio",1873,19,227909
"58","San Francisco, California",1873,25,174819
"59","Cleveland, Ohio",1873,5,113024
"60","Buffalo, New York",1873,6,128940
"61","Washington, DC",1873,16,120627
"62","Newark, New Jersey",1873,1,114494
"63","Louisville, Kentucky",1873,14,107654
"64","Detroit, Michigan",1873,7,90606
"65","Milwaukee, Wisconsin",1873,2,84690
"66","Providence, Rhode Island",1873,2,79690
