"","City","Year","TotalArrests","Drunkenness","PersonalConditions","Homicides","Dismissed","TotalPolice","ActivePolice","Lodgers","Population"
"1","New York, New York",1860,65809,36947,4014,57,NA,1583,1415,NA,813669
"2","Philadelphia, Pennsylvania",1860,32051,23132,2236,31,NA,733,NA,49680,565529
"3","Brooklyn, New York",1860,15334,7203,1239,7,NA,257,198,NA,279122
"4","Chicago, Illinois",1860,NA,NA,NA,NA,NA,67,NA,NA,109206
"5","Boston, Massachusetts",1860,24466,14784,938,2,NA,297,260,17352,177840
"6","New Orleans, Louisiana",1880,18342,NA,NA,20,NA,290,286,22703,216090
"7","New York, New York",1861,71130,NA,NA,NA,NA,2023,1806,119348,826531
"8","Philadelphia, Pennsylvania",1861,NA,NA,NA,NA,NA,NA,NA,NA,573678
"9","Brooklyn, New York",1861,16552,NA,NA,NA,NA,257,199,NA,282520
"10","Chicago, Illinois",1861,NA,NA,NA,NA,NA,70,NA,NA,128183
"11","Boston, Massachusetts",1861,27297,19058,1242,22,NA,316,267,21668,185109
"12","St. Louis, Missouri",1861,6465,NA,NA,NA,NA,235,NA,NA,175782
"13","New York, New York",1862,82072,NA,NA,NA,NA,1997,1783,70938,839393
"14","Philadelphia, Pennsylvania",1862,27576,20473,1260,28,NA,NA,NA,34417,581828
"15","Brooklyn, New York",1862,19397,NA,NA,NA,NA,260,213,NA,285918
"16","Chicago, Illinois",1862,NA,NA,NA,NA,NA,NA,NA,NA,147160
"17","Boston, Massachusetts",1862,25627,16479,1222,11,NA,351,NA,11826,192377
"18","St. Louis, Missouri",1862,NA,NA,NA,NA,NA,NA,NA,NA,190191
"19","Cincinnati, Ohio",1862,7126,NA,NA,NA,NA,NA,NA,NA,172083
"20","San Francisco, California",1862,6957,2633,27,9,NA,54,NA,1858,75336
"21","Washington, DC",1862,22207,12531,602,40,6071,159,138,5250,65930
"22","Detroit, Michigan",1862,1858,492,NA,3,NA,20,NA,NA,52411
"23","Lowell, Massachusetts",1862,1476,1293,149,0,NA,25,20,511,37647
"24","New York, New York",1863,61888,NA,NA,NA,NA,1916,1711,68254,852255
"25","Philadelphia, Pennsylvania",1863,34050,25606,1040,14,NA,NA,NA,30668,589977
"26","Brooklyn, New York",1863,15324,NA,NA,NA,NA,263,207,NA,289316
"27","Chicago, Illinois",1863,NA,NA,NA,NA,NA,NA,NA,NA,166137
"28","Boston, Massachusetts",1863,28890,19043,1847,8,NA,334,274,9897,199646
"29","St. Louis, Missouri",1863,NA,NA,NA,NA,NA,NA,NA,NA,205800
"30","Cincinnati, Ohio",1863,6906,NA,NA,NA,NA,NA,NA,NA,177602
"31","San Francisco, California",1863,5422,2809,28,18,NA,54,NA,383,84603
"32","Washington, DC",1863,23912,13019,1288,39,7978,163,149,NA,70737
"33","Detroit, Michigan",1863,1640,311,NA,4,NA,20,NA,NA,55806
"34","Providence, Rhode Island",1863,1427,270,108,2,NA,99,89,1147,56137
"35","New Haven, Connecticut",1863,1539,818,57,0,NA,25,22,NA,42739
"36","Lowell, Massachusetts",1863,1940,1135,156,1,NA,25,20,420,38057
"37","New York, New York",1864,54751,32822,1889,63,NA,2014,1789,59929,865117
"38","Philadelphia, Pennsylvania",1864,35244,24992,1010,13,NA,843,688,NA,598162
"39","Brooklyn, New York",1864,14820,6281,NA,NA,NA,288,227,4977,292714
"40","Chicago, Illinois",1864,NA,NA,NA,NA,NA,NA,NA,NA,185114
"41","Boston, Massachusetts",1864,12914,4286,1276,17,NA,358,276,23638,206915
"42","St. Louis, Missouri",1864,7385,NA,NA,NA,NA,266,NA,NA,220809
"43","Baltimore, Maryland",1864,12861,7976,214,7,NA,349,298,NA,233391
"44","Cincinnati, Ohio",1864,7003,3447,724,12,NA,209,168,7266,183122
"45","San Francisco, California",1864,6887,2484,40,18,NA,54,NA,251,93870
"46","Washington, DC",1864,23545,12943,1062,28,7757,164,144,2483,75545
"47","Detroit, Michigan",1864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Providence, Rhode Island",1864,2531,654,131,0,NA,101,NA,NA,57961
"49","New Haven, Connecticut",1864,1838,911,45,2,NA,25,22,NA,43896
"50","Lowell, Massachusetts",1864,1825,888,266,0,NA,26,21,394,38467
"51","New York, New York",1865,68873,36779,3873,69,NA,1997,1772,64247,877979
"52","Philadelphia, Pennsylvania",1865,39315,28899,1333,21,NA,NA,NA,NA,606276
"53","Brooklyn, New York",1865,19482,8615,3450,3,NA,373,303,6124,296112
"54","Chicago, Illinois",1865,NA,NA,NA,NA,NA,142,NA,NA,204091
"55","Boston, Massachusetts",1865,17881,7031,2737,14,NA,375,305,16721,214183
"56","St. Louis, Missouri",1865,NA,NA,NA,NA,NA,266,NA,NA,235818
"57","Baltimore, Maryland",1865,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Cincinnati, Ohio",1865,NA,NA,NA,NA,NA,NA,NA,NA,188642
"59","San Francisco, California",1865,7619,2904,31,18,NA,66,NA,496,103138
"60","Washington, DC",1865,26478,13957,1351,18,7984,167,150,2321,80353
"61","Detroit, Michigan",1865,3056,1239,NA,1,NA,51,47,445,62596
"62","Providence, Rhode Island",1865,4057,1634,314,0,NA,103,91,1714,59785
"63","New Haven, Connecticut",1865,1749,614,20,2,NA,25,NA,1422,45054
"64","Lowell, Massachusetts",1865,1683,701,230,0,NA,28,22,684,38877
"65","New York, New York",1866,75630,42583,6443,83,NA,2026,1789,115324,890841
"66","Philadelphia, Pennsylvania",1866,43226,32085,2054,29,NA,NA,NA,46250,614425
"67","Brooklyn, New York",1866,21957,9890,2073,7,NA,382,309,8261,316109
"68","Chicago, Illinois",1866,NA,NA,NA,NA,NA,NA,NA,NA,242045
"69","Boston, Massachusetts",1866,17955,9466,1746,8,NA,383,336,19579,221452
"70","St. Louis, Missouri",1866,9839,2576,1900,NA,NA,266,NA,NA,250828
"71","Baltimore, Maryland",1866,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Cincinnati, Ohio",1866,NA,NA,NA,NA,NA,NA,NA,NA,194161
"73","San Francisco, California",1866,9240,3790,35,12,NA,84,NA,464,112405
"74","Washington, DC",1866,24542,11541,1128,15,7731,238,200,3846,85160
"75","Detroit, Michigan",1866,4096,NA,NA,NA,NA,68,56,1201,65991
"76","Providence, Rhode Island",1866,4020,1778,259,1,NA,101,89,3209,61609
"77","New Haven, Connecticut",1866,2023,874,27,0,NA,28,25,2537,46211
"78","Lowell, Massachusetts",1866,1673,871,203,0,NA,30,24,593,39287
"79","New York, New York",1867,80532,47999,5280,59,NA,2084,1848,105460,903703
"80","Philadelphia, Pennsylvania",1867,43506,31460,2328,25,NA,NA,NA,43437,622574
"81","Brooklyn, New York",1867,21078,9420,1683,11,NA,411,336,8795,336107
"82","Chicago, Illinois",1867,23315,NA,NA,7,NA,190,NA,NA,223068
"83","Boston, Massachusetts",1867,19120,8979,1625,5,NA,344,NA,20390,228720
"84","St. Louis, Missouri",1867,11589,3021,1930,NA,NA,298,NA,NA,265837
"85","Baltimore, Maryland",1867,16588,9371,837,23,255,NA,NA,10240,250873
"86","Cincinnati, Ohio",1867,8208,1645,935,21,NA,233,169,25692,199680
"87","San Francisco, California",1867,9123,3532,57,9,NA,84,NA,773,121672
"88","Washington, DC",1867,20075,9635,1100,13,6330,238,202,3473,89968
"89","Detroit, Michigan",1867,3865,1988,NA,8,NA,70,62,2359,69386
"90","Providence, Rhode Island",1867,3919,1897,216,8,NA,104,92,4115,63433
"91","New Haven, Connecticut",1867,2183,843,43,3,208,28,25,2415,47368
"92","Lowell, Massachusetts",1867,1873,975,173,6,NA,32,24,725,39697
"93","New York, New York",1868,78451,50844,3332,78,NA,2159,1921,141070,916565
"94","Philadelphia, Pennsylvania",1868,NA,NA,NA,NA,NA,NA,NA,NA,630723
"95","Brooklyn, New York",1868,18700,9690,1302,13,NA,440,368,13718,356104
"96","Chicago, Illinois",1868,NA,NA,NA,4,NA,NA,NA,NA,261022
"97","Boston, Massachusetts",1868,19975,11779,1374,12,NA,412,NA,30560,235989
"98","St. Louis, Missouri",1868,11589,6237,1845,17,NA,267,260,NA,280846
"99","Baltimore, Maryland",1868,21078,NA,NA,NA,NA,NA,NA,NA,256367
"100","Cincinnati, Ohio",1868,9101,3251,1331,10,NA,258,180,33702,205200
"101","San Francisco, California",1868,9588,NA,NA,NA,NA,84,NA,NA,130939
"102","Washington, DC",1868,18834,9009,1032,11,6409,238,200,4038,94776
"103","Detroit, Michigan",1868,3619,1766,NA,4,NA,73,62,2369,72781
"104","Milwaukee, Wisconsin",1868,2001,1033,155,NA,NA,39,35,251,66208
"105","Providence, Rhode Island",1868,5045,2423,269,0,NA,113,NA,4277,65256
"106","New Haven, Connecticut",1868,2096,726,38,1,NA,33,31,2492,48525
"107","Lowell, Massachusetts",1868,2028,1253,149,0,NA,35,26,864,40107
"108","New York, New York",1869,72984,47656,2591,57,NA,2232,1922,135591,929427
"109","Philadelphia, Pennsylvania",1869,38749,28992,2104,19,NA,NA,NA,76457,638873
"110","Brooklyn, New York",1869,18730,9713,1181,8,NA,446,366,15147,376102
"111","Chicago, Illinois",1869,NA,NA,NA,NA,NA,NA,NA,NA,279999
"112","Boston, Massachusetts",1869,21842,13905,1643,25,NA,443,NA,28553,243257
"113","St. Louis, Missouri",1869,13196,5626,2815,22,NA,278,260,NA,295855
"114","Baltimore, Maryland",1869,21543,NA,NA,NA,NA,NA,NA,NA,261860
"115","Cincinnati, Ohio",1869,8291,3267,1150,4,NA,272,188,23633,210720
"116","San Francisco, California",1869,11882,6350,99,26,NA,104,NA,1173,140206
"117","Washington, DC",1869,17296,7656,1193,14,6712,238,200,4019,99584
"118","Detroit, Michigan",1869,3355,1774,NA,9,NA,77,66,2648,76176
"119","Milwaukee, Wisconsin",1869,1775,907,127,2,154,39,35,NA,68828
"120","Providence, Rhode Island",1869,5044,2896,360,2,NA,113,NA,3858,67080
"121","New Haven, Connecticut",1869,2379,934,83,3,NA,42,39,2224,49683
"122","Lowell, Massachusetts",1869,1990,1259,113,0,NA,35,26,1019,40517
"123","New York, New York",1870,83380,NA,NA,NA,NA,2100,NA,NA,NA
"124","Philadelphia, Pennsylvania",1870,31717,23734,1635,37,NA,NA,NA,69318,647022
"125","Brooklyn, New York",1870,NA,NA,NA,NA,NA,NA,NA,NA,396099
"126","Chicago, Illinois",1870,28078,18692,1201,14,NA,372,350,2755,298977
"127","Boston, Massachusetts",1870,28858,14569,1578,29,NA,500,406,30730,250526
"128","St. Louis, Missouri",1870,14068,5616,1233,NA,NA,348,304,NA,310864
"129","Baltimore, Maryland",1870,8171,5509,437,13,NA,NA,NA,NA,267354
"130","Cincinnati, Ohio",1870,7358,3051,921,17,NA,254,188,15145,216239
"131","San Francisco, California",1870,13644,5840,168,31,NA,104,NA,1588,149473
"132","Newark, New Jersey",1870,4096,2342,338,1,1075,110,94,8807,104789
"133","Washington, DC",1870,15603,6821,775,10,5748,238,198,3696,109199
"134","Louisville, Kentucky",1870,5014,2427,37,21,1123,136,122,948,100753
"135","Detroit, Michigan",1870,3577,1713,218,4,752,84,78,2734,79577
"136","Milwaukee, Wisconsin",1870,1649,784,174,2,277,39,35,564,71448
"137","Providence, Rhode Island",1870,5639,3105,316,0,NA,122,109,4383,68904
"138","New Haven, Connecticut",1870,2495,1009,61,12,NA,46,NA,3375,50840
"139","Lowell, Massachusetts",1870,2212,1505,109,0,NA,35,26,1487,40928
"140","New York, New York",1871,75692,50849,1945,34,NA,2321,2075,141780,968691
"141","Philadelphia, Pennsylvania",1871,NA,NA,NA,NA,NA,NA,NA,NA,667037
"142","Brooklyn, New York",1871,17586,9710,824,8,NA,449,364,14800,413802
"143","Chicago, Illinois",1871,NA,NA,NA,NA,NA,327,NA,NA,319409
"144","Boston, Massachusetts",1871,25201,15587,1608,9,NA,468,384,34938,261754
"145","St. Louis, Missouri",1871,17484,6642,2022,NA,NA,392,354,NA,314829
"146","Baltimore, Maryland",1871,8367,6364,276,16,NA,NA,NA,NA,273850
"147","Cincinnati, Ohio",1871,7794,3612,795,9,NA,279,214,16552,220129
"148","San Francisco, California",1871,12332,5237,156,21,NA,104,NA,1911,157922
"149","Washington, DC",1871,11462,4962,597,10,NA,238,200,4409,113008
"150","Newark, New Jersey",1871,5537,3377,448,3,2167,149,130,NA,108204
"151","Louisville, Kentucky",1871,6965,3547,70,15,1602,205,161,1824,103054
"152","Detroit, Michigan",1871,3929,2259,187,9,186,89,78,2726,83253
"153","Providence, Rhode Island",1871,6427,4467,306,0,NA,142,NA,3851,72499
"154","New Haven, Connecticut",1871,5363,2483,144,4,NA,51,49,4476,52044
"155","Lowell, Massachusetts",1871,NA,NA,NA,NA,NA,NA,NA,NA,42783
"156","New York, New York",1872,84514,60185,2553,63,NA,2236,1984,147427,995092
"157","Philadelphia, Pennsylvania",1872,40386,20213,1786,30,NA,NA,NA,59674,687052
"158","Brooklyn, New York",1872,15906,7262,704,14,NA,573,429,8676,431506
"159","Chicago, Illinois",1872,21931,13781,881,13,NA,449,425,8023,339819
"160","Boston, Massachusetts",1872,27902,17758,2082,14,NA,520,445,36059,272981
"161","St. Louis, Missouri",1872,19308,10908,2407,15,NA,NA,401,NA,318795
"162","Baltimore, Maryland",1872,10122,8173,213,13,NA,NA,NA,NA,280346
"163","Cincinnati, Ohio",1872,9592,4711,959,12,NA,293,218,19972,224019
"164","San Francisco, California",1872,11035,5031,192,25,NA,104,NA,NA,166370
"165","Cleveland, Ohio",1872,4967,2766,362,3,NA,127,108,NA,99561
"166","Buffalo, New York",1872,10534,6297,NA,NA,NA,159,95,NA,125198
"167","Washington, DC",1872,11306,4924,292,19,4526,238,198,4838,116818
"168","Newark, New Jersey",1872,6377,4183,483,5,2487,170,143,NA,111349
"169","Louisville, Kentucky",1872,NA,NA,NA,NA,NA,NA,NA,NA,105354
"170","Detroit, Michigan",1872,3839,2556,130,6,536,100,85,2418,86930
"171","Providence, Rhode Island",1872,8110,5535,255,2,NA,162,NA,4302,76095
"172","Richmond, Virginia",1872,6121,NA,NA,NA,NA,84,54,NA,53550
"173","New Haven, Connecticut",1872,4964,2338,150,1,NA,75,70,2285,53248
"174","Lowell, Massachusetts",1872,NA,NA,NA,NA,NA,NA,NA,NA,44637
"175","New York, New York",1873,95760,NA,NA,58,NA,NA,NA,178000,1021493
"176","Philadelphia, Pennsylvania",1873,30886,22002,1785,18,NA,1092,975,62460,707066
"177","Brooklyn, New York",1873,25588,7361,1127,9,NA,569,465,27107,449209
"178","Chicago, Illinois",1873,31585,NA,NA,NA,NA,458,NA,NA,360239
"179","Boston, Massachusetts",1873,27845,17444,1792,17,NA,571,480,47661,284209
"180","St. Louis, Missouri",1873,19463,11044,2297,19,NA,369,325,NA,322760
"181","Baltimore, Maryland",1873,10116,7966,272,12,NA,NA,NA,NA,286842
"182","Cincinnati, Ohio",1873,11178,4076,1146,19,NA,333,254,17008,227909
"183","San Francisco, California",1873,12810,5784,81,25,NA,104,NA,NA,174819
"184","Cleveland, Ohio",1873,8579,5131,596,5,614,161,132,4257,113024
"185","Buffalo, New York",1873,12535,7542,661,6,NA,204,122,4305,128940
"186","Washington, DC",1873,11781,5054,622,16,4650,238,200,4252,120627
"187","Newark, New Jersey",1873,6752,4193,680,1,2762,177,150,19090,114494
"188","Louisville, Kentucky",1873,6555,2836,32,14,NA,185,140,2471,107654
"189","Detroit, Michigan",1873,4861,3388,247,7,589,121,97,4219,90606
"190","Milwaukee, Wisconsin",1873,2100,1263,200,2,NA,42,NA,422,84690
"191","Providence, Rhode Island",1873,9337,6682,365,2,NA,186,140,6646,79690
"192","Richmond, Virginia",1873,6393,3367,250,5,NA,84,69,NA,54807
"193","New Haven, Connecticut",1873,5227,2663,169,0,NA,88,81,3230,54453
"194","Lowell, Massachusetts",1873,NA,NA,NA,NA,NA,NA,NA,NA,46492
"195","New York, New York",1874,84821,59041,3512,NA,35565,NA,NA,NA,1047890
"196","Philadelphia, Pennsylvania",1874,32114,24206,2424,65,NA,1092,1000,40857,727081
"197","Brooklyn, New York",1874,26263,12403,1947,19,NA,591,469,42286,466913
"198","Chicago, Illinois",1874,27995,15993,1582,14,NA,549,525,5148,380660
"199","Boston, Massachusetts",1874,29799,18663,1831,14,NA,661,560,58449,295437
"200","St. Louis, Missouri",1874,20655,11563,2539,11,NA,466,401,NA,326726
"201","Baltimore, Maryland",1874,NA,NA,NA,NA,NA,NA,NA,NA,293338
"202","Cincinnati, Ohio",1874,14845,5545,1215,26,NA,330,NA,NA,231799
"203","San Francisco, California",1874,13007,6001,56,27,NA,121,NA,NA,183267
"204","Cleveland, Ohio",1874,9571,4842,864,6,758,163,132,NA,119756
"205","Buffalo, New York",1874,10043,5197,565,10,NA,201,124,7197,132682
"206","Washington, DC",1874,13192,5373,854,10,4945,238,200,7177,124437
"207","Newark, New Jersey",1874,6400,3790,657,1,2899,178,150,25584,117639
"208","Louisville, Kentucky",1874,NA,NA,NA,NA,NA,187,NA,NA,109955
"209","Detroit, Michigan",1874,4935,3118,434,10,751,144,119,7553,94282
"210","Milwaukee, Wisconsin",1874,2444,1201,182,NA,NA,50,41,626,89104
"211","Providence, Rhode Island",1874,8440,5322,581,2,NA,186,140,9369,83285
"212","Richmond, Virginia",1874,6123,2413,209,11,NA,82,67,1069,56063
"213","New Haven, Connecticut",1874,5109,2554,215,2,NA,88,81,4766,55657
"214","Lowell, Massachusetts",1874,NA,NA,NA,NA,NA,NA,NA,NA,48347
"215","New York, New York",1875,84399,53647,4298,NA,29733,NA,NA,NA,1074290
"216","Philadelphia, Pennsylvania",1875,34978,25141,3233,60,NA,1291,1200,67474,747096
"217","Brooklyn, New York",1875,24700,11720,1686,28,8506,589,462,55567,484616
"218","Chicago, Illinois",1875,24232,13392,2080,22,NA,591,510,4832,401081
"219","Boston, Massachusetts",1875,30445,17718,1837,25,NA,700,580,62740,306664
"220","St. Louis, Missouri",1875,20515,7213,2477,NA,NA,NA,401,NA,330691
"221","Baltimore, Maryland",1875,14130,10793,581,12,NA,NA,NA,NA,299834
"222","Cincinnati, Ohio",1875,10825,4234,1351,13,NA,330,264,NA,235689
"223","San Francisco, California",1875,16820,2451,108,42,NA,152,NA,NA,191716
"224","Cleveland, Ohio",1875,8823,3771,1009,13,603,161,145,14645,126488
"225","Buffalo, New York",1875,9991,4844,922,6,NA,205,126,6588,136424
"226","Washington, DC",1875,14152,6051,946,19,4691,238,197,12084,128246
"227","Newark, New Jersey",1875,6482,3827,665,4,2023,177,150,23436,120784
"228","Louisville, Kentucky",1875,4562,1618,22,8,NA,187,140,NA,112256
"229","Detroit, Michigan",1875,4109,1240,458,10,694,155,121,8737,97958
"230","Milwaukee, Wisconsin",1875,2278,1141,NA,5,NA,55,NA,1306,93518
"231","Providence, Rhode Island",1875,8699,5637,646,2,1502,187,NA,7397,86880
"232","Richmond, Virginia",1875,5520,1801,160,5,NA,84,69,2130,57319
"233","New Haven, Connecticut",1875,5092,2732,157,3,NA,82,75,5335,56861
"234","Lowell, Massachusetts",1875,NA,NA,NA,NA,NA,NA,NA,NA,50202
"235","New York, New York",1876,87307,55942,5073,NA,30199,NA,NA,NA,1100690
"236","Philadelphia, Pennsylvania",1876,NA,NA,NA,NA,NA,NA,NA,NA,767111
"237","Brooklyn, New York",1876,26669,12405,1786,21,6848,618,488,49824,501031
"238","Chicago, Illinois",1876,27291,13280,3192,11,6324,517,492,7464,421502
"239","Boston, Massachusetts",1876,30041,16043,1782,19,NA,700,578,63726,317892
