"","City","Year","TotalArrests","Drunkenness","PersonalConditions","Homicides","Dismissed","TotalPolice","ActivePolice","Lodgers","Population"
"1","New York, New York",1860,65809,36947,4014,57,NA,1583,1415,NA,813669
"2","New York, New York",1861,71130,NA,NA,NA,NA,2023,1806,119348,826531
"3","New York, New York",1862,82072,NA,NA,NA,NA,1997,1783,70938,839393
"4","New York, New York",1863,61888,NA,NA,NA,NA,1916,1711,68254,852255
"5","New York, New York",1864,54751,32822,1889,63,NA,2014,1789,59929,865117
"6","New York, New York",1865,68873,36779,3873,69,NA,1997,1772,64247,877979
"7","New York, New York",1866,75630,42583,6443,83,NA,2026,1789,115324,890841
"8","New York, New York",1867,80532,47999,5280,59,NA,2084,1848,105460,903703
"9","New York, New York",1868,78451,50844,3332,78,NA,2159,1921,141070,916565
"10","New York, New York",1869,72984,47656,2591,57,NA,2232,1922,135591,929427
"11","New York, New York",1870,83380,NA,NA,NA,NA,2100,NA,NA,NA
"12","New York, New York",1871,75692,50849,1945,34,NA,2321,2075,141780,968691
"13","New York, New York",1872,84514,60185,2553,63,NA,2236,1984,147427,995092
"14","New York, New York",1873,95760,NA,NA,58,NA,NA,NA,178000,1021493
"15","New York, New York",1874,84821,59041,3512,NA,35565,NA,NA,NA,1047890
"16","New York, New York",1875,84399,53647,4298,NA,29733,NA,NA,NA,1074290
"17","New York, New York",1876,87307,55942,5073,NA,30199,NA,NA,NA,1100690
"18","New York, New York",1877,79865,50875,7187,NA,NA,NA,NA,96343,1127090
"19","New York, New York",1878,78533,47456,6334,NA,NA,NA,NA,NA,1153490
"20","New York, New York",1879,65334,41460,5762,NA,NA,NA,NA,NA,1177990
"21","New York, New York",1880,68477,44292,6149,NA,NA,2519,2241,NA,1206299
"22","New York, New York",1881,67135,42612,5795,NA,NA,NA,NA,NA,1237200
"23","New York, New York",1882,67729,42491,5817,117,NA,NA,NA,NA,1268100
"24","New York, New York",1883,70701,43872,6020,NA,NA,NA,NA,NA,1299000
"25","New York, New York",1884,70254,NA,NA,81,NA,2832,2506,NA,1329900
"26","New York, New York",1885,74315,43060,5427,93,NA,2889,2573,134345,1360800
"27","New York, New York",1886,73928,44071,5518,84,NA,3216,2899,131503,1391700
"28","New York, New York",1887,81176,47258,5603,98,NA,3208,2940,128635,1422600
"29","New York, New York",1888,85094,47883,6649,108,NA,3351,3015,150812,1453500
"30","New York, New York",1889,82200,47614,6314,113,NA,3398,3085,147634,1484400
"31","New York, New York",1890,84556,48144,5774,107,NA,3502,3190,149853,1515301
"32","New York, New York",1891,90124,52335,6275,122,NA,3623,3218,147622,1568830
"33","New York, New York",1892,84498,50089,4058,116,NA,3731,3387,137436,1622360
