"","City","Year","TotalArrests","Drunkenness","PersonalConditions","Homicides","Dismissed","TotalPolice","ActivePolice","Lodgers","Population","Time","Youth","Race","Foreigners","Religiousioty","Income","FarmSize","FarmNum","AdultEmployment","ChildEmployment","NumManufacturing","Capital","StateTaxes","CountyTaxes","PropertyValue","RealEstateValue","Density"
"1","New York, New York",1884,5282.65283103993,NA,NA,81,NA,2832,188.435220693285,NA,1329900,1,25265.8752100433,1630.0270496784,39680.8751395798,NA,8043612.81904403,28,53,21.8851213505109,0.414490934668768,939.982541641832,15021678.3732723,310956.2388761,-0.497389121602521,14584688.7877715,918134380,60314.95
"2","New York, New York",1885,5461.12580834803,43060,5427,93,NA,2889,189.079952968842,134345,1360800,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","New York, New York",1886,5312.06438169146,44071,5518,84,NA,3216,208.306387870949,131503,1391700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","New York, New York",1887,5706.17179811613,47258,5603,98,NA,3208,206.663854913539,128635,1422600,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","New York, New York",1888,5854.42036463708,47883,6649,108,NA,3351,207.430340557276,150812,1453500,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","New York, New York",1889,5537.5909458367,47614,6314,113,NA,3398,207.828078684991,147634,1484400,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","New York, New York",1890,5580.14546284864,48144,5774,107,NA,3502,210.519230172751,149853,1515301,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","New York, New York",1891,5744.66322036167,52335,6275,122,NA,3623,205.1210137491,147622,1568830,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","New York, New York",1892,5208.33846988338,50089,4058,116,NA,3731,208.76994008728,137436,1622360,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","New York, New York",1893,5160.7205723526,48542,7168,128,NA,3842,209.023265250106,127503,1675890,10,30049.409325276,1557.51233583295,42232.0713838373,27302.4963357115,15185244.8457435,44,12,14889.71498072,113.376814243507,1676.43260315937,28121031.5310291,NA,NA,NA,611500,NA
"11","New York, New York",1894,5696.93176154212,52714,8127,133,NA,3839,204.645825364259,68025,1725420,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
