S87001  CONNECTICUT      0045002000537454000527549000009668000000002000000235000423815000113639000203650000198958000197377000192685000423815000350498-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000017871-00000001-00000001-00000001000002694-00000001000029594-00000001-00000001-00000001000007897-00000001-00000001000002646-00000001-00000001000113639-00000001000000194-00000001000000154-00000001-00000001000010861-00000001-00000001000000116000013289000000821000012743000000000-00000001000070632-00000001-00000001-00000001-00000001-00000001000003238-00000001000000395000000492-00000001000099663000095381000004282000050696000047792000000580000000564000019680000029616000005678000023938000001339000001191000001266000001444000008990000013683000000069000000062000000083000000130000000627000000704000537454000265270000272184000069807000069155000109881000150415000127499001646752000577333000140331124241382003246599004405064026482150000535954000599718001224107000053297004881858017545038000025508000000071000001716000002937000007433000007538000005786000000026000000001000005128000089523000061684000020810000007029095281278038987187086419579161065474322553488000740631004892410000702591000020113004169706000006103009806903000000116000045150-00000009-00000009000000290000133175000000139000050962-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000184000063975-00000009-00000009-00000009-00000009000000007000003875-00000009-00000009-00000009-00000009000000044000026418000000007000001380-00000009-00000009-00000009-000000090000000140000068500000008260000009020003387350134281090000
C87001  FAIRFIELD        0045002000095276000093582000001680000000000000000014000077400000017876000033994000032862000032461000031329000077400000060995-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001541-00000009-00000009-00000009000000915-00000009000011611-00000009-00000009-00000009000000207-00000009-00000009000000209-00000009-00000009000017876-00000009000000004-00000009000000047-00000009-00000009000000387-00000009-00000009000000043000002157000000117000002646000000000-00000009000012019-00000009-00000009-00000009-00000009-00000009000000437-00000009000000097000000084-00000009000015341000014929000000412000007818000007364000000070000000086000002957000004706000001106000003600000000178000000160000000115000000178000001427000002308000000010000000008000000011000000039000000119000000148000095276000046163000049113000012362000012353000018897000025925000022237000199762000050574000024292025038719000382866000707478003891312000096039000263982000112137000012000000854181002670137000003836000000009000000242000000512000001407000001151000000514000000000000000001000000754000013844000010218000003074000000552012145097006580593012552187023499004054042116000124947000712838000119818000012885000580135000000000000957331000000014000004950-00000009-00000009000000037000016450000000034000013716-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000038000014250-00000009-00000009-00000009-00000009000000003000001900-00000009-00000009-00000009-00000009000000007000003950000000000000000000-00000009-00000009-00000009-000000090000000040000016000000001410000001530000575510023589980010
C87001  HARTFORD         0045002000109007000107252000001752000000001000000002000082716000026291000047875000046977000046623000045725000082716000068701-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000005175-00000009-00000009-00000009000000434-00000009000003994-00000009-00000009-00000009000000586-00000009-00000009000000802-00000009-00000009000026291-00000009000000003-00000009000000036-00000009-00000009000001359-00000009-00000009000000027000003026000000164000003341000000000-00000009000016957-00000009-00000009-00000009-00000009-00000009000000925-00000009000000072000000103-00000009000020920000019836000001084000010497000010250000000087000000085000003711000005591000000777000004814000000134000000156000000154000000199000001851000002783000000008000000014000000011000000029000000143000000109000109007000053957000055050000014067000013910000023063000030594000026070000278436000088525000005044028289158000730565001046609006220911000173863000078239000251842000004204000763938003259387000004693000000011000000348000000649000001453000001364000000863000000005000000000000001031000019106000013789000004085000001232021259828009316592017542785035039324079051800000203756001291828000169151000002338001120339000000500003846957000000015000008900-00000009-00000009000000051000027350000000024000009046-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000034000011975-00000009-00000009-00000009-00000009000000003000001900-00000009-00000009-00000009-00000009000000007000003582000000002000000350-00000009-00000009-00000009-000000090000000020000013000000001420000001580000656030033008050030
C87001  LITCHFIELD       0045002000048727000047648000001052000000000000000027000041655000007072000012771000012406000012303000011938000041655000035686-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001729-00000009-00000009-00000009000000087-00000009000003206-00000009-00000009-00000009000000102-00000009-00000009000000160-00000009-00000009000007072-00000009000000003-00000009000000003-00000009-00000009000000403-00000009-00000009000000007000000940000000230000000575000000000-00000009000004706-00000009-00000009-00000009-00000009-00000009000000086-00000009000000030000000036-00000009000007847000007651000000196000004058000003644000000075000000067000001119000001867000000716000001151000000108000000083000000080000000065000000651000000719000000017000000013000000012000000010000000054000000050000048727000024558000024169000006535000006197000009462000014063000012217000342308000101656000008519019344295000591403000596414004456676000091582000003625000106268000002477000960662003484593000003850000000007000000173000000221000000691000001250000001497000000011000000000000000609000004846000003800000000795000000251005362490001964975005613473009918508026447170000053844000362658000059234000001153000302271000000715000587600000000009000001900-00000009-00000009000000041000017350000000024000006116-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000024000007050-00000009-00000009-00000009-00000009000000000000000000-00000009-00000009-00000009-00000009000000003000001050000000000000000000-00000009-00000009-00000009-000000090000000000000000000000001030000001170000337160008619090050
C87001  MIDDLESEX        0045002000036099000035722000000372000000000000000005000028545000007554000012865000012615000012524000012274000028545000025132-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000728-00000009-00000009-00000009000000196-00000009000001384-00000009-00000009-00000009000000160-00000009-00000009000000145-00000009-00000009000007554-00000009000000005-00000009000000003-00000009-00000009000000213-00000009-00000009000000006000001020000000019000000430000000000-00000009000005418-00000009-00000009-00000009-00000009-00000009000000299-00000009000000063000000024-00000009000006962000006673000000289000003556000003368000000024000000014000001552000002409000000341000002068000000071000000077000000067000000078000001011000001035000000003000000005000000000000000002000000030000000028000036099000018453000017646000004388000004429000008061000011212000008513000082016000053454000027010006932828000221651000256982001504256000025432000018398000097047000003999000225699001040838000001848000000015000000219000000315000000670000000410000000219000000000000000000000000429000004503000003356000000872000000275004614630001877636003937528007719537016047490000038422000290067000035922000003737000250408000000000001383810000000011000004000-00000009-00000009000000026000010250000000010000002802-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000018000006525-00000009-00000009-00000009-00000009000000001000000075-00000009-00000009-00000009-00000009000000005000001500000000000000000000-00000009-00000009-00000009-000000090000000010000004000000000720000000780000255520007970120070
C87001  NEW HAVEN        0045002000121257000118517000002734000000000000000006000091415000029842000054711000053735000053319000052343000091415000076775-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000003094-00000009-00000009-00000009000000762-00000009000006286-00000009-00000009-00000009000000268-00000009-00000009000000550-00000009-00000009000029842-00000009000000012-00000009000000057-00000009-00000009000001089-00000009-00000009000000024000003672000000219000003906000000000-00000009000019621-00000009-00000009-00000009-00000009-00000009000000711-00000009000000088000000140-00000009000023989000022945000001044000012365000011280000000179000000165000002767000004677000000965000003712000000185000000110000000108000000155000001049000002633000000017000000008000000017000000019000000157000000218000121257000060103000061154000015713000015485000026317000033902000029441000192563000064975000023921017256347000428179000658978003614178000061726000161245000183949000001551000634160002284658000003413000000007000000292000000479000001144000000921000000567000000003000000000000000940000023306000016927000004918000001461029445641011549919022054303045156181081606194000174533001347196000174548000000000001172648000000000001540115000000010000006100-00000009-00000009000000050000029075000000032000014332-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000027000011850-00000009-00000009-00000009-00000009000000000000000000-00000009-00000009-00000009-00000009000000010000008766000000000000000000-00000009-00000009-00000009-000000090000000030000016000000001380000001460000744230035499850090
C87001  NEW LONDON       0045002000066570000065010000001419000000000000000141000053668000012902000021945000021289000021185000020529000053668000045367-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001620-00000009-00000009-00000009000000184-00000009000001989-00000009-00000009-00000009000002753-00000009-00000009000000279-00000009-00000009000012902-00000009000000167-00000009000000003-00000009-00000009000002373-00000009-00000009000000009000001112000000036000000943000000000-00000009000007465-00000009-00000009-00000009-00000009-00000009000000568-00000009000000044000000048-00000009000013157000012591000000566000006515000006421000000102000000101000003129000004765000000781000003984000000272000000257000000229000000293000001399000002086000000010000000009000000016000000019000000071000000102000066570000032677000033893000008657000008780000013285000018486000015548000227162000086584000019413012878346000352273000598741002895417000031027000045405000168076000006546000631822002144279000003161000000010000000212000000334000000766000000906000000926000000007000000000000000703000010624000007219000002701000000704011279402003896885012279363019797065039495179000087263000533814000085078000000000000448736000003332001193147000000035000013250-00000009-00000009000000036000014900000000008000003500-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000019000005500-00000009-00000009-00000009-00000009000000000000000000-00000009-00000009-00000009-00000009000000004000002950000000000000000000-00000009-00000009-00000009-000000090000000020000011000000001070000001160000416400014705000110
C87001  TOLLAND          0045002000022000000021801000000199000000000000000000000018469000003531000006025000005889000005843000005707000018469000015264-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001615-00000009-00000009-00000009000000056-00000009000000462-00000009-00000009-00000009000000512-00000009-00000009000000198-00000009-00000009000003531-00000009000000000-00000009000000002-00000009-00000009000000431-00000009-00000009000000000000000636000000030000000793000000000-00000009000001511-00000009-00000009-00000009-00000009-00000009000000066-00000009000000000000000044-00000009000004286000004083000000203000002219000002037000000011000000019000000624000000853000000142000000711000000019000000009000000027000000034000000316000000418000000001000000000000000003000000000000000011000000015000022000000010733000011267000002795000002732000004009000006184000005412000133856000057471000021733006308423000246322000224926001654198000023035000011224000153730000007308000306230001112221000002119000000012000000099000000217000000654000000680000000457000000000000000000000000238000003909000002119000001499000000291003177931001295846005643279008907799009133166000018834000161040000021236000000000000139804000000882000199495000000005000001150-00000009-00000009000000022000008950000000001000000500-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000011000003325-00000009-00000009-00000009-00000009000000000000000000-00000009-00000009-00000009-00000009000000003000001850000000001000000230-00000009-00000009-00000009-000000090000000010000006000000000460000000530000172550004954000130
C87001  WINDHAM          0045002000038518000038017000000460000000001000000040000029947000008571000013464000013185000013119000012840000029947000022578-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000002369-00000009-00000009-00000009000000060-00000009000000662-00000009-00000009-00000009000003309-00000009-00000009000000303-00000009-00000009000008571-00000009000000000-00000009000000003-00000009-00000009000004606-00000009-00000009000000000000000726000000006000000109000000000-00000009000002935-00000009-00000009-00000009-00000009-00000009000000146-00000009000000001000000013-00000009000007161000006673000000488000003668000003428000000032000000027000003821000004748000000850000003898000000372000000339000000486000000442000001286000001701000000003000000005000000013000000012000000042000000034000038518000018692000019892000005290000005269000006787000010049000008061000190649000074094000010399008193266000293340000314936002245202000033250000017600000151058000015212000505166001548925000002588000000000000000131000000210000000648000000856000000743000000000000000000000000424000009385000004256000002866000002263007996259002504741006796661011028056016730373000039032000192969000037604000000000000155365000000674000098448000000017000004900-00000009-00000009000000027000008850000000006000000950-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000013000003500-00000009-00000009-00000009-00000009000000000000000000-00000009-00000009-00000009-00000009000000005000002770000000004000000800-00000009-00000009-00000009-000000090000000010000002500000000770000000810000229950005935000150
C87002  ANDROSCOGGIN     0045002000035866000035826000000040000000000000000000000032236000003630000005957000005828000005808000005679000032236000030050-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001085-00000009-00000009000000579-00000009-00000009000000076-00000009-00000009-00000009000000066-00000009-00000009000000150-00000009-00000009000003630-00000009-00000009-00000009-00000009-00000009-00000009000001281-00000009-00000009000000001000000604000000004000000089000000000-00000009000001534000000000-00000009-00000009000000000-00000009000000099-00000009000000005-00000009000000006000007758000007529000000229000004032000003723000000003000000000000000880000001537000000338000001199000000104000000105000000099000000183000000424000000616000000000000000000000000000000000001000000002000000003000035866000016847000019019000004652000004914000006607000009358000008430000161777000068172000015423006558570000198653000202580001587089000050021000020587000082648000007931000281308001203806000003023000000006000000141000000291000001017000001224000000344000000000000000000000000314000008502000003908000004045000000549008066929002549723009247520014016816013275063000023164000392025000105634000028530000262861000112400000463328000000028000009399000000000000000000000000008000003420000000001000000400-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000016000004075-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000004000002100000000001000000250-00000009-00000009-00000009-000000090000000090000030850000000710000000730000243290004977000010
C87002  AROOSTOOK        0045002000029609000029553000000056000000000000000000000022002000007607000016064000014338000013929000012203000022002000021510-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000194-00000009-00000009000000152-00000009-00000009000000038-00000009-00000009-00000009000000004-00000009-00000009000000051-00000009-00000009000007607-00000009-00000009-00000009-00000009-00000009-00000009000006741-00000009-00000009000000000000000106000000003000000008000000000-00000009000000673000000000-00000009-00000009000000000-00000009000000064-00000009000000006-00000009000000000000004068000003601000000467000002067000001996000000003000000002000003233000003795000002234000001561000000538000000447000000354000000289000001158000001006000000000000000000000000000000000000000000002000000001000029609000015540000014069000005448000004972000005356000006713000004633000133024000277613000017813003010130000223519000082283001845600000006092000001262000025850000055442000258177001027442000003209000000002000000076000000446000001658000000830000000197000000000000000000000000178000000407000000382000000019000000006000247245000057180000383355000607283003553439000005184000100035000030026000010944000059065000000000000021332000000030000001960000000004-00000009000000007000001370000000002000000850-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000013000000400-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000006000004050000000000000000000-00000009-00000009-00000009-00000009000000001-000000090000000650000000310000092300000736000030
